# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-02-22T00:00:00.0/2024-02-23T00:00:00.0;10466.1064;7177.6528;5320.0581;1857.5950;7142.5435;5996.6260;3011.6543;2984.9717;3929.7373;0.9844
2024-02-23T00:00:00.0/2024-02-24T00:00:00.0;10473.4551;7144.9062;5135.1929;2009.7135;6903.4604;1478.1262;26.4559;1451.6703;32.1846;0.9792
2024-02-24T00:00:00.0/2024-02-25T00:00:00.0;10480.3760;6993.4971;4727.0659;2266.4309;6236.9077;4544.1587;1328.1101;3216.0486;1986.1151;0.9795
2024-02-25T00:00:00.0/2024-02-26T00:00:00.0;10486.8545;7197.2593;5462.8115;1734.4480;7245.1807;6695.8931;4299.8340;2396.0596;5753.3481;0.9792
2024-02-26T00:00:00.0/2024-02-27T00:00:00.0;10492.8945;6849.9028;4435.7510;2414.1519;5720.4209;6281.2642;3353.4158;2927.8484;4391.9961;0.9844
2024-02-27T00:00:00.0/2024-02-28T00:00:00.0;10498.4912;6928.9458;4619.7031;2309.2429;6021.5596;6616.9897;3983.1492;2633.8406;5272.2881;0.9844
2024-02-28T00:00:00.0/2024-02-29T00:00:00.0;10503.6182;7035.9541;4851.4873;2184.4670;6331.8804;6696.1680;4205.9819;2490.1858;5474.1157;0.9844
2024-02-29T00:00:00.0/2024-03-01T00:00:00.0;10508.2646;6969.1309;4578.7417;2390.3894;6013.8809;1448.7836;109.7093;1339.0742;170.5690;0.9844
2024-03-01T00:00:00.0/2024-03-02T00:00:00.0;10512.4219;7101.4771;5116.7773;1984.6998;6754.2344;1965.6199;245.8530;1719.7668;519.4277;0.9847
2024-03-02T00:00:00.0/2024-03-03T00:00:00.0;10516.0410;7232.8198;5415.1064;1817.7131;7188.2944;6920.2266;4762.6074;2157.6191;6328.8652;0.9844
2024-03-03T00:00:00.0/2024-03-04T00:00:00.0;10519.2773;7170.8418;5151.3530;2019.4891;6884.5244;6703.7104;4217.7856;2485.9250;5505.3169;0.9844
2024-03-04T00:00:00.0/2024-03-05T00:00:00.0;10521.9619;7185.0942;5196.9722;1988.1222;6905.8369;5771.1641;3121.3267;2649.8372;4578.8154;0.9844
2024-03-05T00:00:00.0/2024-03-06T00:00:00.0;10524.1279;7138.2559;5050.1016;2088.1543;6648.7949;6115.1401;2723.9329;3391.2070;3715.1924;0.9844
2024-03-06T00:00:00.0/2024-03-07T00:00:00.0;10525.7695;7129.3979;5052.1753;2077.2229;6612.8794;2012.3108;247.3076;1765.0033;431.7548;0.9844
2024-03-07T00:00:00.0/2024-03-08T00:00:00.0;10526.9062;7043.3164;4800.0303;2243.2864;6284.0024;4650.9546;1280.8779;3370.0769;1698.4817;0.9844
2024-03-08T00:00:00.0/2024-03-09T00:00:00.0;10527.5322;7192.3589;5227.2554;1965.1035;6971.2583;5669.0078;1980.7888;3688.2190;2883.6641;0.9844
2024-03-09T00:00:00.0/2024-03-10T00:00:00.0;10527.6191;7125.9922;5026.8174;2099.1748;6603.7983;6454.3218;3574.1550;2880.1665;4732.1665;0.9844
2024-03-10T00:00:00.0/2024-03-11T00:00:00.0;10527.1641;7294.4985;5661.6416;1632.8571;7534.9937;6960.5405;4921.2983;2039.2426;6676.1929;0.9844
2024-03-11T00:00:00.0/2024-03-12T00:00:00.0;10526.1924;7196.3413;5131.5586;2064.7827;6803.7119;5854.7827;2707.5371;3147.2456;3584.3704;0.9844
2024-03-12T00:00:00.0/2024-03-13T00:00:00.0;10524.6973;7120.9165;4878.4883;2242.4280;6451.6646;5083.5151;1848.2753;3235.2397;2488.1812;0.9844
2024-03-13T00:00:00.0/2024-03-14T00:00:00.0;10522.6543;7128.9141;4998.3906;2130.5232;6563.6934;3849.1948;961.7079;2887.4871;1461.4531;0.9847
2024-03-14T00:00:00.0/2024-03-15T00:00:00.0;10520.0166;7100.2446;4773.7578;2326.4863;6262.8442;5835.8022;2405.2058;3430.5964;3190.0571;0.9844
2024-03-15T00:00:00.0/2024-03-16T00:00:00.0;10516.9629;7376.5449;5939.3999;1437.1451;7977.2793;6646.8911;4347.4868;2299.4045;5694.7627;0.9844
2024-03-16T00:00:00.0/2024-03-17T00:00:00.0;10513.3252;7357.8003;5744.5635;1613.2372;7743.0562;6913.3364;4726.5269;2186.8093;6657.6606;0.9844
2024-03-17T00:00:00.0/2024-03-18T00:00:00.0;10509.1367;7184.2642;5082.7900;2101.4744;6703.9756;6744.3682;4193.0059;2551.3625;5663.4561;0.9847
2024-03-18T00:00:00.0/2024-03-19T00:00:00.0;10504.4199;7258.1235;5342.3740;1915.7495;7079.3252;6450.3521;3484.7822;2965.5696;4602.3369;0.9844
2024-03-19T00:00:00.0/2024-03-20T00:00:00.0;10499.1963;7132.9058;4985.5962;2147.3096;6598.4785;3128.5854;369.4896;2759.0959;619.1904;0.9844
2024-03-20T00:00:00.0/2024-03-21T00:00:00.0;10493.4297;7106.9009;5033.6030;2073.2979;6574.0742;6571.2534;3965.3564;2605.8970;5243.8403;0.9847
2024-03-21T00:00:00.0/2024-03-22T00:00:00.0;10487.0840;7041.4194;4744.3711;2297.0483;6248.8198;6519.6538;3773.1448;2746.5090;5159.1943;0.9844
2024-03-22T00:00:00.0/2024-03-23T00:00:00.0;10480.3340;6630.0220;3562.1516;3067.8704;4567.7158;4015.5273;700.0851;3315.4421;927.7638;0.9844
2024-03-23T00:00:00.0/2024-03-24T00:00:00.0;10473.0176;7049.9849;4841.9165;2208.0684;6286.8306;5815.8232;2536.4443;3279.3789;3365.0503;0.9844
2024-03-24T00:00:00.0/2024-03-25T00:00:00.0;10465.1738;7004.3252;4724.0947;2280.2307;6150.7573;6599.0947;3873.6611;2725.4338;5111.7212;0.9844
2024-03-25T00:00:00.0/2024-03-26T00:00:00.0;10456.8447;7093.4209;5087.0400;2006.3807;6635.8350;6626.7476;4118.0220;2508.7258;5608.1714;0.9844
2024-03-26T00:00:00.0/2024-03-27T00:00:00.0;10448.0234;7003.7559;4669.3022;2334.4534;6119.5962;6438.1685;3611.8518;2826.3164;4842.3950;0.9844
2024-03-27T00:00:00.0/2024-03-28T00:00:00.0;10438.6914;7149.9453;5156.2812;1993.6642;6766.1431;6492.1113;3821.6655;2670.4458;5219.7061;0.9847
2024-03-28T00:00:00.0/2024-03-29T00:00:00.0;10428.8770;6981.8169;4630.6919;2351.1248;6073.2397;6433.1792;3558.4314;2874.7478;4738.8506;0.9844
2024-03-29T00:00:00.0/2024-03-30T00:00:00.0;10418.6084;6922.5479;4414.8584;2507.6897;5747.3984;5027.9297;1594.9277;3433.0017;1865.8573;0.9844
2024-03-30T00:00:00.0/2024-03-31T00:00:00.0;10407.8516;7175.9531;5384.3511;1791.6023;7129.0659;6688.5063;4342.1426;2346.3640;5875.9116;0.9847
2024-03-31T00:00:00.0/2024-04-01T00:00:00.0;10396.5811;6954.6094;4645.1851;2309.4241;6058.8438;6348.2700;3488.3345;2859.9353;4721.7861;0.9844
2024-04-01T00:00:00.0/2024-04-02T00:00:00.0;10384.9727;6979.3901;4650.1675;2329.2229;6081.2461;5283.4478;2558.0925;2725.3552;3255.7825;0.9844
2024-04-02T00:00:00.0/2024-04-03T00:00:00.0;10372.8682;7120.2368;5298.4604;1821.7765;7005.6060;6542.8740;4020.9856;2521.8887;5593.9624;0.9844
2024-04-03T00:00:00.0/2024-04-04T00:00:00.0;10360.3135;7017.0273;4865.0391;2151.9880;6412.1851;5667.6846;2556.8740;3110.8105;3817.9783;0.9844
2024-04-04T00:00:00.0/2024-04-05T00:00:00.0;10347.3555;7092.6465;4979.3315;2113.3149;6529.6592;6755.7739;4243.1533;2512.6206;5715.9023;0.9844
